,$Name,$_PRimaryGroup,$Parent,$OpeningBalance,$ClosingBalance,$_PrevYearBalance,$IsRevenue,$PartyGSTIN,$MasterId,$AlterID,$Nature_Led,$UpdatedDate,$UpdatedTime,$CreatedBy,$CreatedDate,$AlteredDate,$AlteredBy,$LastVoucherDate,$CompanyName,$Year_from,$Year_to,$Company_number,$Path,$Amount,$Date,$VoucherNumber,$Type
311,1122020100/TRADE REC-OG/JAKSON ENGINEERS LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1598.0,13263.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
312,1122020100/TRADE REC-OG/JAKSON GREEN PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,-447954437.54,-533743307.94,-447954437.54,0.0,,2545.0,14167.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
313,1122020100/TRADE REC-OG/JAKSON LIMITED,Sundry Debtors,Sundry Debtors,5919760.0,5919760.0,5919760.0,0.0,,2140.0,13805.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
314,1122020100/TRADE REC-OG/Jakson Ltd.,Sundry Debtors,Sundry Debtors,-5886481.0,-5886481.0,-5886481.0,0.0,,1489.0,13155.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
315,1122020100/TRADE REC-OG/Jakson Power Private Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1519.0,13185.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
316,1122020100/TRADE REC-OG/JANARDAN WIND ENERGY PRIVATE LIMITE,Sundry Debtors,Sundry Debtors,0.0,13643190.0,,0.0,,3402.0,15755.0,BS,2024-11-05,144644000.0,,,,,2024-05-13,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
317,1122020100/TRADE REC-OG/Janardan Wind Energy Pvt Ltd,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1765.0,13430.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
318,1122020100/TRADE REC-OG/JAQUAR AND COMPANY PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3494.0,15756.0,BS,2024-11-05,144648000.0,,,,,2024-07-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
319,1122020100/TRADE REC-OG/Jay Khobragade,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1720.0,13385.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
320,1122020100/TRADE REC-OG/JAYRAM INDUSTRIES INDIA PVT LTD,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1984.0,13649.0,BS,,0.0,,,,,2025-01-20,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
321,1122020100/TRADE REC-OG/JAYSIS GREEN ENERGY INFRA PRIVATE L,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,3279.0,14896.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
322,1122020100/TRADE REC-OG/JHAMB INVESTMENTS,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3499.0,15757.0,BS,2024-11-05,144651000.0,,,,,2024-07-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
323,1122020100/TRADE REC-OG/Jindal Greentech Energy Solutions P,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2314.0,13979.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
324,1122020100/TRADE REC-OG/JJ PV SOLAR PRIVATE LTD,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2402.0,14067.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
325,1122020100/TRADE REC-OG/JOSHI ENTERPRISES,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3760.0,16220.0,BS,2024-12-06,164820000.0,,,,,2024-11-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
326,1122020100/TRADE REC-OG/JSM ENERGY PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3567.0,15758.0,BS,2024-11-05,144656000.0,,,,,2024-08-16,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
327,1122020100/TRADE REC-OG/Juniper Green Cosmic Private Limite,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3356.0,15759.0,BS,2024-11-05,144700000.0,,,,,2024-09-27,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
328,1122020100/TRADE REC-OG/JUNIPER GREEN ENERGY PRIVATE LIMITE,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3834.0,16366.0,BS,2025-01-06,121314000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
329,1122020100/TRADE REC-OG/JUNIPER GREEN GAMMA ONE PRIVATE LIM,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2552.0,14174.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
330,1122020100/TRADE REC-OG/Juniper Green Ray Two Pvt. Ltd.,New Ledgers,New Ledgers,0.0,-244829830.33,,0.0,,3915.0,16444.0,BS,2025-02-12,163449000.0,,,,,2025-01-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
331,1122020100/TRADE REC-OG/JYOTIBA DHARMAVEERSINH SODHA,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3496.0,15760.0,BS,2024-11-05,144704000.0,,,,,2024-09-05,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
332,1122020100/TRADE REC-OG/Kalpa Power Pvt Ltd,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,734.0,12964.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
333,1122020100/TRADE REC-OG/Kanha Solar Engineering Solutions,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1942.0,13607.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
334,1122020100/TRADE REC-OG/Kaval Power Private Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2257.0,13922.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
335,1122020100/TRADE REC-OG/KEC INTERNATIONAL LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2543.0,14165.0,BS,,0.0,,,,,2024-08-12,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
336,1122020100/TRADE REC-OG/KIRAN INFRA TECH,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3842.0,16367.0,BS,2025-01-06,121317000.0,,,,,2024-12-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
337,1122020100/TRADE REC-OG/KIRLOSKAR SOLAR TECHNOLOGIES PVT LT,Sundry Debtors,Sundry Debtors,-1749440.0,0.0,-1749440.0,0.0,,2256.0,13921.0,BS,,0.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
338,1122020100/TRADE REC-OG/Kondaas Services,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1931.0,13596.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
339,1122020100/TRADE REC-OG/KOSOL ENERGIE PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,265.0,12519.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
340,1122020100/TRADE REC-OG/KPIG ENERGIA PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,1360800.0,1359532.0,1360800.0,0.0,,3202.0,14819.0,BS,,0.0,,,,,2024-12-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
341,1122020100/TRADE REC-OG/KPIG Energia Pvt. Ltd.,Sundry Debtors,Sundry Debtors,-1359839.0,-1359839.0,-1359839.0,0.0,,1939.0,13604.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
342,1122020100/TRADE REC-OG/K.P.I. GLOBAL INFRASTRUCTURE LIMITE,Sundry Debtors,Sundry Debtors,-39941.0,-39941.0,-39941.0,0.0,,1811.0,13476.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
343,1122020100/TRADE REC-OG/K P I GLOBAL INFRASTRUCTURE LIMITED,Sundry Debtors,Sundry Debtors,-4871.8,0.0,-4871.8,0.0,,1667.0,13332.0,BS,,0.0,,,,,2024-09-05,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
344,1122020100/TRADE REC-OG/KPI Green Energy Pvt Ltd,Sundry Debtors,Sundry Debtors,0.0,-226086784.0,0.0,0.0,,2447.0,14112.0,BS,,0.0,,,,,2024-12-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
345,1122020100/TRADE REC-OG/K Powers,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,698.0,12929.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
346,1122020100/TRADE REC-OG/KRISHNAMURTI FOUNDATION INDIA,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2059.0,13724.0,BS,,0.0,,,,,2024-06-26,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
347,1122020100/TRADE REC-OG/Krivi-Tex Pvt. Ltd,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3455.0,15761.0,BS,2024-11-05,144708000.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
348,1122020100/TRADE REC-OG/KRSKA Solar Private Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2551.0,14173.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
349,1122020100/TRADE REC-OG/KUBERA INNOVATIVE PRODUCTS,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1936.0,13601.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
350,1122020100/TRADE REC-OG/KURMAHIMABINDU,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1812.0,13477.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
351,1122020100/TRADE REC-OG/LAKSHMANVEER STEEL PVT LTD,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1982.0,13647.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
352,1122020100/TRADE REC-OG/LATISH JUMNANI,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,3274.0,14891.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
353,1122020100/TRADE REC-OG/Levin Energy Solutions Private Limi,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3458.0,15762.0,BS,2024-11-05,144712000.0,,,,,2024-06-27,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
354,1122020100/TRADE REC-OG/Lions Calcutta Greater Vidya Mandir,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2192.0,13857.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
355,1122020100/TRADE REC-OG/Livint Technologies Pvt. Ltd.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2088.0,13753.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
356,1122020100/TRADE REC-OG/LNB Renewable Energy Pvt. Ltd,Sundry Debtors,Sundry Debtors,-38980050.0,-13672690.0,-38980050.0,0.0,,537.0,12773.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
357,1122020100/TRADE REC-OG/LOHAJA BUSINESS PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2442.0,14107.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
358,1122020100/TRADE REC-OG/Lumino Industries Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3497.0,15763.0,BS,2024-11-05,144716000.0,,,,,2024-11-29,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
359,1122020100/TRADE REC-OG/MACRO TRADING COMPANY,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2825.0,14447.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
360,1122020100/TRADE REC-OG/Madhav Infra  Projects Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,497.0,12751.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
361,1122020100/TRADE REC-OG/Madhura Oil Mill,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1932.0,13597.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
362,1122020100/TRADE REC-OG/MAGNUM VINIMAY PVT LTD,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1993.0,13658.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
363,1122020100/TRADE REC-OG/MAHARAJA SHREE UMAID MILLS LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,3275.0,14892.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
364,1122020100/TRADE REC-OG/MAHARSHI LABELS PVT LTD,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2342.0,14007.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
365,1122020100/TRADE REC-OG/Mahindra Solarize Pvt. Ltd.,Sundry Debtors,Sundry Debtors,-28800890.0,-245172.12,-28800890.0,0.0,,1847.0,13512.0,BS,,0.0,,,,,2025-01-25,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
366,1122020100/TRADE REC-OG/Mahindra Susten Private Limited,Sundry Debtors,Sundry Debtors,7080.0,7080.0,7080.0,0.0,,1517.0,13183.0,BS,,0.0,,,,,2024-05-21,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
367,1122020100/TRADE REC-OG/MAHINDRA SUSTEN PVT. LTD.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,630.0,12866.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
368,1122020100/TRADE REC-OG/Mahindra Teqo Private Limited,Sundry Debtors,Sundry Debtors,0.0,-101627.5,0.0,0.0,,1731.0,13396.0,BS,,0.0,,,,,2025-01-09,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
369,1122020100/TRADE REC-OG/Majestic Basmati Rice Pvt. Ltd,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1426.0,13093.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
370,1122020100/TRADE REC-OG/Manish Mahipatrai Shah,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2772.0,14394.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
371,1122020100/TRADE REC-OG/Mayflower Management Services Pvt.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2056.0,13721.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
372,1122020100/TRADE REC-OG/MAYURA STEELS PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,,0.0,,3753.0,16221.0,BS,2024-12-06,164822000.0,,,,,2024-11-13,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
373,1122020100/TRADE REC-OG/MEENAKSHI MALKAPUR POWER,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2190.0,13855.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
374,1122020100/TRADE REC-OG/Meenakshi Malkapur Power Private Li,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2725.0,14347.0,BS,,0.0,,,,,2024-09-26,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
375,1122020100/TRADE REC-OG/Mekeran Energy & Infra Private Limi,New Ledgers,New Ledgers,0.0,3838800.0,,0.0,,3920.0,16449.0,BS,2025-02-12,163449000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
376,1122020100/TRADE REC-OG/MIRRA VENTURE TECHNOLOGIES,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1705.0,13370.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
377,1122020100/TRADE REC-OG/MITARSH ENERGY PRIVATE LIMITED,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,2098.0,13763.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
378,1122020100/TRADE REC-OG/Mittal Machines Pvt Ltd,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1342.0,13009.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
379,1122020100/TRADE REC-OG/MKU Limited (Malwan),Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1943.0,13608.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
380,1122020100/TRADE REC-OG/Mogli Labs (India) Private Limited,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,3194.0,14811.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
381,1122020100/TRADE REC-OG/Moogambigai Metal Refineries,Sundry Debtors,Sundry Debtors,-1465169.13,0.0,-1465169.13,0.0,,3173.0,14790.0,BS,,0.0,,,,,2024-06-10,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
382,1122020100/TRADE REC-OG/M/s AB ENERGIA SOLUTIONS PRIVATE LI,New Ledgers,New Ledgers,0.0,-25483600.0,,0.0,,3908.0,16437.0,BS,2025-02-12,163449000.0,,,,,2025-01-06,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
383,1122020100/TRADE REC-OG/M/s.Galaxy Solar Energy Pvt. Ltd.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,1565.0,13230.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
384,1122020100/TRADE REC-OG/M/s Ilios Power Pvt Ltd.,Sundry Debtors,Sundry Debtors,0.0,0.0,0.0,0.0,,496.0,12750.0,BS,,0.0,,,,,2024-06-18,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
385,1122020100/TRADE REC-OG/MSKVY NINETEENTH SOLAR SPV LIMITED,New Ledgers,New Ledgers,0.0,-18061120.0,,0.0,,3909.0,16438.0,BS,2025-02-12,163449000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
386,1122020100/TRADE REC-OG/MSKVY TWENTY SECOND SOLAR SPV LIMIT,New Ledgers,New Ledgers,0.0,-14334320.0,,0.0,,3916.0,16445.0,BS,2025-02-12,163449000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
